,title,sentiment,kode_emiten,cleaned,description,published date,url,publisher,keywords,content,published_date,kode_emitten
172,"Saham BBRI Fluktuatif, Inikah Sebabnya?",0.0,BBRI,saham bbri fluktuatif,,,,,,,,
173,"Sinergi BRI & MoneyGram, Mudahnya Kirim Uang dari Luar Negeri",0.0,BBRI,sinergi bri moneygram mudah kirim uang negeri,,,,,,,,
174,"Penuhi PP, Pemerintah Alihkan 5,49 Miliar Saham BRI ke Indonesia Investment Authority",1.0,BBRI,penuh pp perin alih miliar saham bri indonesia investment authority,,,,,,,,
175,"Ramai Kirim THR, BRI Proyeksikan Remitansi Kian Melesat",1.0,BBRI,ramai kirim thr bri proyeksi remitansi kian melesat,,,,,,,,
176,"Kucurkan Rp26,4 Triliun, Ini Jadwal Pembagian Dividen Tunai BRI (BBRI)",1.0,BBRI,kucur rp triliun jadwal bagi dividen tunai bri bbri,,,,,,,,
177,Cara BRI Bangkitkan Kembali Geliat Aktivitas Pelaku UMKM,0.0,BBRI,bri bangkit geliat aktivitas pelaku umkm,,,,,,,,
178,DPR Apresiasi Kontribusi BRI ke Negara Semakin Besar,0.0,BBRI,dpr apresiasi kontribusi bri negara,,,,,,,,
179,"BBRI All Time High, BlackRock-Vanguard-JPMorgan Akumulasi",1.0,BBRI,bbri all time high blackrockvanguardjpmorgan akumulasi,,,,,,,,
180,"Lebaran 2022, BRI (BBRI) Mudahkan Nasabah dengan QRIS di BRImo",0.0,BBRI,lebaran bri bbri mudah nasabah qris brimo,,,,,,,,
181,"BRI Tebar Dividen Interim Rp 8,63 Triliun, Cek Jadwalnya!",1.0,BBRI,bri tebar dividen interim rp triliun cek jadwal,,,,,,,,
182,Prospek Cuan Investasi Reksa Dana Berbasis ESG Dari BRI,0.0,BBRI,prospek cuan investasi reksa dana basis esg bri,,,,,,,,
183,BRI Dukung UMKM Naik Kelas Lewat Digitalisasi,0.0,BBRI,bri dukung umkm kelas digitalisasi,,,,,,,,
184,"Bawa UMKM Naik Kelas, BRI Berdayakan 11 Ribu Klaster",0.0,BBRI,bawa umkm kelas bri daya ribu klaster,,,,,,,,
185,Ini Bocoran BRI Life Soal Memilih Asuransi yang Pas,0.0,BBRI,bocor bri life pilih asuransi pas,,,,,,,,
186,Bos BRI Blak-blakan Nasib 81.680 Karyawan BRI-PNM-Pegadaian,0.0,BBRI,bos bri blakblakan nasib karyawan bripnmpegadaian,,,,,,,,
187,"Perhatian, Hari Ini Terakhir Dapat Dividen BBRI Rp 8,63 T",1.0,BBRI,perhati dividen bbri rp,,,,,,,,
188,"Jadi Official Bank FIFA Matchday Indonesia vs Argentina, Saham Bank BRI (BBRI) Bergerak Melemah",-1.0,BBRI,official bank fifa matchday indonesia vs argentina saham bank bri bbri gerak lemah,,,,,,,,
189,"Nasabah Mikro dan KUR Terdampak Covid-19, BRI Syariah Berikan Solusi Bayar Saat Panen",0.0,BBRI,nasabah mikro kur dampak covid bri syariah solusi bayar panen,,,,,,,,
190,"Dukung Pembiayaan Petani, BRI Gandeng Syngenta Indonesia",1.0,BBRI,dukung biaya petan bri gandeng syngenta indonesia,,,,,,,,
191,"Kolaborasi Pupuk Indonesia & BRI, Program Makmur untuk Petani",1.0,BBRI,kolaborasi pupuk indonesia bri program makmur petan,,,,,,,,
192,"Momen Hari Ibu, BRI Salurkan Bantuan ke Sekolah Anak Jalanan",0.0,BBRI,momen bri salur bantu sekolah anak jalan,,,,,,,,
193,"IHSG Sesi I Melonjak ke 6.848, Saham BBRI, BMRI dan BBCA Paling Laris",1.0,BBRI,ihsg sesi lonjak saham bbri bmri bbca laris,,,,,,,,
194,Kepala Negara ASEAN Simak Showcase Ekosistem Financing BRI,0.0,BBRI,kepala negara asean simak showcase ekosistem financing bri,,,,,,,,
195,"Borong 3 Penghargaan, BRI Raih Pengakuan Internasional",1.0,BBRI,borong harga bri raih aku internasional,,,,,,,,
196,"Holding Ultra Mikro, Saham BBRI Diprediksi Tembus Rp 5.200",1.0,BBRI,holding ultra mikro saham bbri prediksi tembus rp,,,,,,,,
197,"Dorong Ekonomi Desa Berkelanjutan, BRI Targetkan 1.000 Desa Jadi Desa BRILIAN",0.0,BBRI,dorong ekonomi desa lanjut bri target desa desa brilian,,,,,,,,
198,"Tidak Ada Bias Gender, BRI Jaga Kesetaraan Remunerasi",0.0,BBRI,bias gender bri jaga setara remunerasi,,,,,,,,
199,BRI Ukir Senyum Siswa Dengan Renovasi Sekolah di Dompu NTB,0.0,BBRI,bri ukir senyum siswa renovasi sekolah dompu ntb,,,,,,,,
200,"Harga Saham BBRI Turun Tipis Saat Laba Melonjak, Ini Saatnya Jual atau Beli?",0.0,,harga saham bbri turun tipis laba lonjak jual beli,,,,Kontan,,,2022-07-28,BBRI
201,"Bantu Jual SBN Ritel SR017, Ini Target BRI & Bank Mandiri",1.0,,bantu jual sbn ritel sr target bri bank mandiri,,,,Bisnis,,,2022-08-19,BBRI
202,"10 Saham Yang Diborong Asing Saat IHSG Menguat, BBRI Nomor 1",2.0,,saham borong asing ihsg kuat bbri nomor,,,,CNBC Indonesia,,,2023-04-12,BBRI
203,"Cek Jam Operasional Lebaran BCA, BNI, BRI, Mandiri, BTN, BSI",1.0,,cek jam operasional lebaran bca bni bri mandiri btn bsi,,,,CNBC Indonesia,,,2023-04-17,BBRI
204,Perkuat Literasi Digital BRImo Catatkan Volume Transaksi Rp1.201 Triliun,2.0,,kuat literasi digital brimo catat volume transaksi rp triliun,,,,Kontan,,,2023-05-29,BBRI
205,"IHSG Sesi I Menguat Tipis ke 6.681, Saham BBCA, GOTO dan BBRI Paling Laris",2.0,,ihsg sesi kuat tipis saham bbca goto bbri laris,,,,Bisnis,,,2023-05-30,BBRI
206,"Investasi Asing di IDX High Dividend 20 Capai Rp10,84 Triliun, BBRI dan BBCA Paling Jumbo",2.0,,investasi asing idx high dividend capai rp triliun bbri bbca jumbo,,,,Bisnis,,,2023-06-16,BBRI
207,"IHSG Berpeluang Menguat ke 6.850, Saham GOTO, MBMA hingga BBRI Potensi Cuan",2.0,,ihsg peluang kuat saham goto mbma bbri potensi cuan,,,,Bisnis,,,2023-07-14,BBRI
208,"IHSG Ditutup Menguat Ditopang Data Pertumbuhan Ekonomi, Saham BBRI, BMRI, dan BBCA Hijau",2.0,,ihsg tutup kuat topang data tumbuh ekonomi saham bbri bmri bbca hijau,,,,Bisnis,,,2023-08-07,BBRI
209,"IHSG Ditutup Menguat Usai Rilis Inflasi AS, Saham BBCA dan BBRI Ikut Hijau",2.0,,ihsg tutup kuat rilis inflasi as saham bbca bbri hijau,,,,Bisnis,,,2023-09-14,BBRI
210,"Bunga deposito BRI dan Bank Mandiri naik di awal 2020, cek bunga terbarunya",1.0,,bunga deposito bri bank mandiri cek bunga baru,,,,Kontan,,,2020-01-03,BBRI
211,"Saham big cap: IHSG anjlok, CPIN terdepak, BBRI, HMSP, ASII turun terdalam",0.0,,saham big cap ihsg anjlok cpin depak bbri hmsp asii turun dalam,,,,Kontan,,,2020-08-04,BBRI
212,"Laba Capai Rp 18,6 T di 2020, Aset Bank BRI Tembus Rp 1.512 T",2.0,,laba capai rp aset bank bri tembus rp,,,,CNBC Indonesia,,,2021-01-29,BBRI
213,"Bakal Rights Issue, Siap-siap Ini Target Harga Terdekat BBRI",1.0,,rights issue siapsiap target harga dekat bbri,,,,CNBC Indonesia,,,2021-02-09,BBRI
214,BRI targetkan semua kartu ATM sudah migrasi ke kartu cip pada September 2021,1.0,,bri target kartu atm migrasi kartu cip september,,,,Kontan,,,2021-03-24,BBRI
215,"Awas Bahaya Hacker di Layanan Bank, Simak Tips dari BRI",1.0,,awas bahaya hacker layan bank simak tips bri,,,,CNBC Indonesia,,,2021-04-17,BBRI
216,"Kapan Kartu ATM BCA, BRI & Bank Mandiri Diblokir? Cek di Sini",1.0,,kartu atm bca bri bank mandiri blokir cek,,,,CNBC Indonesia,,,2021-06-05,BBRI
217,"Asuransi BRI Life Double Care, Premi Tunggal Manfaat Ganda, Perlindungan Pasti Untuk Pekerja dan Keluarga",1.0,,asuransi bri life double care premi tunggal manfaat ganda lindung pekerja keluarga,,,,Bisnis,,,2021-06-11,BBRI
218,"IHSG naik tipis ke 6.101 pada akhir sesi I hari ini, asing borong BBRI, MDKA, BMRI",2.0,,ihsg tipis sesi asing borong bbri mdka bmri,,,,Kontan,,,2021-06-14,BBRI
219,"Cek nih! Bocoran Target Harga Saham BCA, BRI, Mandiri, BNI",1.0,,cek ini bocor target harga saham bca bri mandiri bni,,,,CNBC Indonesia,,,2021-06-24,BBRI
220,"RUPSLB Hari Ini, Cek Sederet Manfaat Rights Issue Jumbo BRI!",1.0,,rupslb cek deret manfaat rights issue jumbo bri,,,,CNBC Indonesia,,,2021-07-22,BBRI
221,"Suku Bunga Deposito BCA, BNI, Bank Mandiri, dan BRI Terbaru. Cek di Sini!",1.0,,suku bunga deposito bca bni bank mandiri bri baru cek,,,,Bisnis,,,2021-08-13,BBRI
222,"Cek Dulu! Daftar Bunga Deposito Terbaru BCA, Bank Mandiri, BNI, dan BRI",1.0,,cek daftar bunga deposito baru bca bank mandiri bni bri,,,,Bisnis,,,2021-11-15,BBRI
223,"IHSG Rekor ATH, Asing Borong Saham Telkom & BRI",2.0,,ihsg rekor ath asing borong saham telkom bri,,,,CNBC Indonesia,,,2021-11-19,BBRI
224,"Jokowi, Erick Thohir, OJK dan BI Apresiasi Kontribusi BRI",1.0,,jokowi erick thohir ojk bi apresiasi kontribusi bri,,,,CNBC Indonesia,,,2021-12-16,BBRI
225,"Cara Mengambil Uang di ATM BRI, Mandiri, BCA, dan BNI yang Aman serta Praktis",1.0,,ambil uang atm bri mandiri bca bni aman praktis,,,,Kontan,,,2022-01-11,BBRI
226,"Simak! Ini Simulasi KPR Rumah BTN, BCA, BNI, Mandiri dan BRI",1.0,,simak simulasi kpr rumah btn bca bni mandiri bri,,,,CNBC Indonesia,,,2022-01-12,BBRI
227,"Perkuat Transaksi Pembayaran, BRI Akan Tambah 60.000 Unit EDC Merchant Android",2.0,,kuat transaksi bayar bri unit edc merchant android,,,,Kontan,,,2022-01-13,BBRI
228,"Cara Cek Nomor Rekening BCA, Mandiri, BNI, dan BRI lewat HP",1.0,,cek nomor rekening bca mandiri bni bri hp,,,,Bisnis,,,2022-01-23,BBRI
229,"Cara Daftar M-Banking BRI di BRImo, Bisa untuk Cek Saldo, Transfer & Pembayaran",1.0,,daftar mbanking bri brimo cek saldo transfer bayar,,,,Kontan,,,2022-01-27,BBRI
230,"Laba Konsolidasi BRI Rp30,76 Triliun Lebih Kecil dari Individu Rp32,22 Triliun. Kenapa?",2.0,,laba konsolidasi bri rp triliun individu rp triliun,,,,Bisnis,,,2022-02-03,BBRI
231,"Targetkan 55 Juta Nasabah Ultra Mikro, BRI Beberkan Strategi",1.0,,target juta nasabah ultra mikro bri kan strategi,,,,CNBC Indonesia,,,2022-04-21,BBRI
232,"Update Jadwal Operasional BRI, BCA, Mandiri di Libur Lebaran",1.0,,update jadwal operasional bri bca mandiri libur lebaran,,,,CNBC Indonesia,,,2022-04-25,BBRI
233,"Bisa untuk Beli Pulsa, Transfer, Cek Saldo, Ini Cara Daftar M-Banking BRI di BRImo",1.0,,beli pulsa transfer cek saldo daftar mbanking bri brimo,,,,Kontan,,,2022-05-05,BBRI
234,BRI Targetkan Punya 600.000 Agen BRILink Tahun Ini,1.0,,bri target agen brilink tahun,,,,Bisnis,,,2022-05-15,BBRI
235,"Penyebab IHSG Turun Awal Perdagangan, Saham BBCA BBRI Jadi Penekan",0.0,,penyebab ihsg turun dagang saham bbca bbri penekan,,,,Bisnis,,,2022-06-02,BBRI
236,Milenial Cari Cuan di Pasar Modal? Simak Tips BRI Prioritas,1.0,,milenial cari cuan pasar modal simak tips bri prioritas,,,,CNBC Indonesia,,,2022-06-21,BBRI
237,Top! BRI Borong Penghargaan Global Private Banking,2.0,,top bri borong harga global private banking,,,,CNBC Indonesia,,,2022-08-27,BBRI
238,"Fluktuatif! Cek Kurs Jual Beli Dolar AS di BCA, BRI, Bank Mandiri, dan BNI Hari Ini (16/9)",1.0,,fluktuatif cek kurs jual beli dolar as bca bri bank mandiri bni,,,,Bisnis,,,2022-09-16,BBRI
239,Cara Daftar dan Cek Penerima BLT UMKM BRI Oktober 2022,1.0,,daftar cek terima blt umkm bri oktober,,,,Bisnis,,,2022-10-20,BBRI
240,"BBRI dan ASII Terbesar, Ini Saham-saham yang Banyak Dilego Asing pada Selasa (15/11)",0.0,,bbri asii besar sahamsaham lego asing selasa,,,,Kontan,,,2022-11-16,BBRI
241,"Intip Kesiapan Uang Tunai di BTN, BNI, Mandiri, BRI, dan BCA Jelang Tahun Baru",1.0,,intip kesiap uang tunai btn bni mandiri bri bca jelang tahun,,,,Bisnis,,,2022-12-26,BBRI
242,"Saham BBRI Lesu Bareng IHSG setelah Lewat Cum Dividen Rp8,6 Triliun",2.0,,saham bbri lesu bareng ihsg cum dividen rp triliun,,,,Bisnis,,,2023-01-10,BBRI
243,"Simak Proyeksi Suku Bunga CIMB Niaga, BRI, dan BCA Pada 2023",1.0,,simak proyeksi suku bunga cimb niaga bri bca,,,,Bisnis,,,2023-01-14,BBRI
244,"Laba Melesat 67,15%, Aset Bank Rakyat Indonesia (BBRI) Capai Rp 1.865 Triliun di 2022",2.0,,laba melesat aset bank rakyat indonesia bbri capai rp triliun,,,,Kontan,,,2023-02-08,BBRI
245,"Wow! BRI Cetak Laba Rp 51,4 Triliun, Melesat 67% Pada 2022",2.0,,wow bri cetak laba rp triliun melesat,,,,CNBC Indonesia,,,2023-02-08,BBRI
246,"Optimitis, Intip Target Kinerja BRI (BBRI) di Tahun 2023",1.0,,optimitis intip target kinerja bri bbri tahun,,,,Kontan,,,2023-02-09,BBRI
247,BRI Danareksa Sekuritas Targetkan Pertumbuhan Jumlah Nasabah 42% Tahun Ini,1.0,,bri danareksa sekuritas target tumbuh nasabah tahun,,,,Kontan,,,2023-02-10,BBRI
248,"IHSG Dibuka Menguat ke 6.851, Saham BBCA, BBRI, GOTO Laris",2.0,,ihsg buka kuat saham bbca bbri goto laris,,,,Bisnis,,,2023-03-02,BBRI
249,"Daftar Terbaru 10 Bank Aset Terbesar RI, Bank Mandiri & BRI Bersaing Ketat",1.0,,daftar baru bank aset besar ri bank mandiri bri saing ketat,,,,Bisnis,,,2023-03-09,BBRI
250,"BRI (BBRI) Bagikan Dividen Tunai Rp43,5 Triliun, 85 Persen dari Laba 2022",2.0,,bri bbri bagi dividen tunai rp triliun persen laba,,,,Bisnis,,,2023-03-13,BBRI
251,"BRI Bagi Dividen 85%, Pemegang Saham Dapat Rp 43,5 Triliun",2.0,,bri dividen pegang saham rp triliun,,,,CNBC Indonesia,,,2023-03-13,BBRI
252,"IHSG Ditutup Menguat, Saham BMRI, BBCA, BBRI, dan ADRO Paling Laris",2.0,,ihsg tutup kuat saham bmri bbca bbri adro laris,,,,Bisnis,,,2023-04-04,BBRI
253,"Ini Lokasi Tukar Uang THR Lebaran Mandiri, BRI, BNI, BSI, BCA",1.0,,lokasi tukar uang thr lebaran mandiri bri bni bsi bca,,,,CNBC Indonesia,,,2023-04-05,BBRI
254,"Diborong Asing, Saham BBRI Sentuh Rekor Harga Baru Rp 5.425",2.0,,borong asing saham bbri sentuh rekor harga rp,,,,CNBC Indonesia,,,2023-05-22,BBRI
255,"IHSG Sesi I Menguat ke 6.754, Saham BBRI, BBCA dan GOTO Paling Laris",2.0,,ihsg sesi kuat saham bbri bbca goto laris,,,,Bisnis,,,2023-05-23,BBRI
256,"BRI (BBRI) Catat Kredit UMKM Tembus Rp989,64 Triliun, Bidik Porsi Capai 85 Persen pada 2024",2.0,,bri bbri catat kredit umkm tembus rp triliun bidik porsi capai persen,,,,Bisnis,,,2023-05-29,BBRI
257,"IHSG Dibuka Melemah, Saham TLKM, BBRI, hingga GOTO Ikut Turun",0.0,,ihsg buka lemah saham tlkm bbri goto turun,,,,Bisnis,,,2023-06-12,BBRI
258,"IHSG Terdorong Inflasi AS, Saham BBRI hingga DEWA Menguat",2.0,,ihsg dorong inflasi as saham bbri dewa kuat,,,,Bisnis,,,2023-06-14,BBRI
259,"IHSG Sesi I Menguat ke 6.683, Saham Perbankan BMRI, BBCA dan BBRI Paling Laris",2.0,,ihsg sesi kuat saham perban bmri bbca bbri laris,,,,Bisnis,,,2023-07-03,BBRI
260,"IHSG Ditutup Melemah ke 6.879, Saham BBCA, BBRI dan TLKM Laris Diborong Investor",2.0,,ihsg tutup lemah saham bbca bbri tlkm laris borong investor,,,,Bisnis,,,2023-08-11,BBRI
261,"Laba BRI (BBRI) Tembus Rp29,56 Triliun, Intip Faktor Penopangnya",2.0,,laba bri bbri tembus rp triliun intip faktor topang,,,,Bisnis,,,2023-08-30,BBRI
262,"BRI (BBRI) Raih Laba Konsolidasi Rp29,56 Triliun, Setara Rp195 per Lembar Saham",2.0,,bri bbri raih laba konsolidasi rp triliun setara rp lembar saham,,,,Bisnis,,,2023-08-30,BBRI
263,Siasat Bank Mandiri dan BRI Penuhi Target di Sisa 2023,1.0,,siasat bank mandiri bri penuh target sisa,,,,Bisnis,,,2023-08-31,BBRI
264,"IHSG Masih Berpeluang ke 7.000, Rekomendasi Saham ASII, BBCA, BBRI Besok",2.0,,ihsg peluang rekomendasi saham asii bbca bbri besok,,,,Bisnis,,,2023-09-10,BBRI
265,"IHSG Berpeluang Naik Lagi Besok, Rekomendasi Saham BBRI-KLBF",2.0,,ihsg peluang besok rekomendasi saham bbriklbf,,,,Bisnis,,,2023-09-11,BBRI
266,"IHSG Sesi I Menguat ke 6.962, Saham BBCA, AMMN dan BBRI Justru Tergelincir",2.0,,ihsg sesi kuat saham bbca ammn bbri gelincir,,,,Bisnis,,,2023-09-14,BBRI
267,"IHSG Dibuka Melemah Usai The Fed Tahan Suku Bunga, Saham BBCA, BBRI, BMRI Paling Laris",0.0,,ihsg buka lemah the fed tahan suku bunga saham bbca bbri bmri laris,,,,Bisnis,,,2023-09-21,BBRI
268,"Laba BRI (BBRI) tembus Rp 34,4 triliun di 2019, naik 6,15%",2.0,,laba bri bbri tembus rp triliun,,,,Kontan,,,2020-01-23,BBRI
269,"Sebulan anjlok hampir 30%, saham BBRI masih saja dilepas asing",0.0,,sebulan anjlok saham bbri lepas asing,,,,Kontan,,,2020-04-09,BBRI
270,"Dalam 3 Bulan Bank BUMN Raup Laba Rp20,79 Triliun, BRI Tetap Terbesar",2.0,,bank bumn raup laba rp triliun bri besar,,,,Bisnis,,,2020-06-09,BBRI
271,"Long Weekend, Layanan BRI, Mandiri, BTN & BCA Tetap Buka",1.0,,long weekend layan bri mandiri btn bca buka,,,,CNBC Indonesia,,,2020-10-28,BBRI
272,BRI Rogoh Rp 400 M Borong Saham BRIS yang Tak Setuju Merger,2.0,,bri rogoh rp borong saham bris tuju merger,,,,CNBC Indonesia,,,2020-12-11,BBRI
273,Cek Sekarang! Ini Update Terbaru BRI Credit Card Mobile,1.0,,cek update baru bri credit card mobile,,,,CNBC Indonesia,,,2020-12-28,BBRI
274,"Tahun lalu, BRI meraup laba senilai Rp 18,660 triliun",2.0,,tahun bri raup laba nila rp triliun,,,,Kontan,,,2021-01-30,BBRI
275,"Kinerja BRI, Mandiri, BNI, dan BTN. Siapa Paling Tahan 'Gigitan' Corona?",1.0,,kinerja bri mandiri bni btn tahan gigit corona,,,,Bisnis,,,2021-02-08,BBRI
276,"Ini Kartu ATM BRI, BCA dan Bank Mandiri yang Akan Diblokir",1.0,,kartu atm bri bca bank mandiri blokir,,,,CNBC Indonesia,,,2021-05-25,BBRI
277,"Perlindungan Nyata, BRI Group Hadirkan Asuransi Double Care",1.0,,lindung bri group hadir asuransi double care,,,,CNBC Indonesia,,,2021-06-11,BBRI
278,"Pilih Mana BRI, BCA atau Bank Jago? Simak Rekomendasinya",1.0,,pilih bri bca bank jago simak rekomendasi,,,,CNBC Indonesia,,,2021-06-23,BBRI
279,3 Strategi BRI Dukung Percepatan Pengembangan Pasar Uang,1.0,,strategi bri dukung cepat embang pasar uang,,,,CNBC Indonesia,,,2021-07-03,BBRI
280,"Mau Simpan Uang Minim Risiko? Cek Dulu Bunga Deposito di BCA, Mandiri, BRI, & BNI!",1.0,,simpan uang minim risiko cek bunga deposito bca mandiri bri bni,,,,Bisnis,,,2021-07-16,BBRI
281,"Perangi Covid-19, BRI Dukung Konser Amal Indonesia Tangguh",1.0,,perang covid bri dukung konser amal indonesia tangguh,,,,CNBC Indonesia,,,2021-08-08,BBRI
282,"Cek Jadwal BCA, BRI, BNI, Mandiri Saat Libur 1 Muharram!",1.0,,cek jadwal bca bri bni mandiri libur muharram,,,,CNBC Indonesia,,,2021-08-09,BBRI
283,Sederet Fakta-Fakta Rights Issue BRI,1.0,,deret faktafakta rights issue bri,,,,CNBC Indonesia,,,2021-09-02,BBRI
284,"Kurs Jual Beli Dolar AS di BCA dan BRI, 2 September 2021",1.0,,kurs jual beli dolar as bca bri september,,,,Bisnis,,,2021-09-02,BBRI
285,"Wow! Laba BRI Q3 Melesat 36% Jadi Rp 19,07 T, Aset Rp 1.620 T",2.0,,wow laba bri melesat rp aset rp,,,,CNBC Indonesia,,,2021-10-27,BBRI
286,BRI Terapkan BI Fast Mulai dari BRImo hingga Cash Management System,1.0,,bri terap bi fast brimo cash management system,,,,Bisnis,,,2021-12-23,BBRI
287,Simak Lagi Layanan Operasional Bank BRI (BBRI) Selama Periode Nataru,1.0,,simak layan operasional bank bri bbri periode nataru,,,,Bisnis,,,2021-12-31,BBRI
288,"Nasabah, Cek Nih Suku Bunga Dasar Kredit BRI Terbaru!",1.0,,nasabah cek ini suku bunga dasar kredit bri baru,,,,Bisnis,,,2022-01-06,BBRI
289,"BRI Targetkan DPK Tumbuh Positif pada 2022, Begini Strateginya",1.0,,bri target dpk tumbuh positif strategi,,,,Bisnis,,,2022-01-11,BBRI
290,"Semakin Kuat dalam Inovasi Digital Banking, BRI Raih Berbagai Penghargaan",2.0,,kuat inovasi digital banking bri raih harga,,,,Bisnis,,,2022-01-12,BBRI
291,"Bank BRI Mau Buyback Rp 3 Triliun, Valuasi Harga Saham BBRI Saat Ini Masih Wajar",2.0,,bank bri buyback rp triliun valuasi harga saham bbri wajar,,,,Kontan,,,2022-01-25,BBRI
292,"Plafon KUR 2022 Naik, Berikut Tips Pengajuan KUR BRI untuk UMKM",1.0,,plafon kur tips aju kur bri umkm,,,,Kontan,,,2022-02-10,BBRI
293,Ini 5 Cara Cek Saldo BRIZZI di HP hingga ATM BRI Terbaru,1.0,,cek saldo brizzi hp atm bri baru,,,,Kontan,,,2022-02-11,BBRI
294,"Tempuh Buyback, Saham BBRI Diproyeksi Tembus Rp 5.000",2.0,,tempuh buyback saham bbri proyeksi tembus rp,,,,CNBC Indonesia,,,2022-02-15,BBRI
295,"BRI (BBRI) Mau Buyback Rp3 Triliun, Begini Prospek Sahamnya",2.0,,bri bbri buyback rp triliun prospek saham,,,,Bisnis,,,2022-02-21,BBRI
296,Bank Rakyat Indonesia (BBRI) Dapat Restu Lakukan Buyback Saham Senilai Rp 3 Triliun,2.0,,bank rakyat indonesia bbri restu laku buyback saham nila rp triliun,,,,Kontan,,,2022-03-01,BBRI
297,"Makin Mudah Berinvestasi dengan BRIGHTS, Aplikasi Trading Online Terlengkap dari BRI Group",1.0,,mudah investasi brights aplikasi trading online lengkap bri group,,,,Bisnis,,,2022-03-05,BBRI
298,BRI (BBRI) Catat Volume Transaksi Lewat BRImo Capai Rp1.345 Triliun pada 2021,2.0,,bri bbri catat volume transaksi brimo capai rp triliun,,,,Bisnis,,,2022-03-13,BBRI
299,"Beli Token Listrik di BRImo Cashback 50%, Simak Promonya di Sini!",1.0,,beli token listrik brimo cashback simak promonya,,,,Kontan,,,2022-03-22,BBRI
300,"Didukung BRI, Eks-TKI Ini Bawa Ikan Bandeng Mentas ke LN",1.0,,dukung bri ekstki bawa ikan bandeng mentas ln,,,,CNBC Indonesia,,,2022-03-28,BBRI
301,"Layani Ultra Mikro, BRI Target Bentuk 1.000 Kantor Senyum",1.0,,layan ultra mikro bri target bentuk kantor senyum,,,,CNBC Indonesia,,,2022-04-25,BBRI
302,"Terus Inovasi, Bos BRI Jadi Business Person of the Year",1.0,,inovasi bos bri business person of the year,,,,CNBC Indonesia,,,2022-05-19,BBRI
303,"Gencar Transformasi, BRI Jadi Digital Banking Terbaik",2.0,,gencar transformasi bri digital banking baik,,,,CNBC Indonesia,,,2022-07-03,BBRI
304,Riset BRIN Catat 99% Nasabah Puas dengan Layanan KUR BRI,1.0,,riset brin catat nasabah puas layan kur bri,,,,CNBC Indonesia,,,2022-07-12,BBRI
305,BRI Dukung Ribuan Klaster UMKM Binaan Perluas Akses Pasar,1.0,,bri dukung ribu klaster umkm bina luas akses pasar,,,,CNBC Indonesia,,,2022-09-04,BBRI
306,"BRI Implementasikan EV, Green Building, & EBT Demi Target NZE",1.0,,bri implementasi ev green building ebt target nze,,,,CNBC Indonesia,,,2022-10-05,BBRI
307,"Permudah Nasabah Berinvestasi di SBN, BRI Hadirkan Fitur e-SBN di BRImo",1.0,,mudah nasabah investasi sbn bri hadir fitur esbn brimo,,,,Kontan,,,2022-10-29,BBRI
308,"Ditopang Green Financing, Kredit Berkelanjutan BRI Tembus Rp 671,1 Triliun",2.0,,topang green financing kredit lanjut bri tembus rp triliun,,,,Kontan,,,2022-12-11,BBRI
309,Simak Jadwal Layanan Khusus Bank Mandiri dan BRI Selama Perayaan Natal dan Tahun Baru,1.0,,simak jadwal layan bank mandiri bri raya natal tahun,,,,Bisnis,,,2022-12-25,BBRI
310,"Cara Beli Saham BRI (BBRI) Sehingga Dapat Dividen Interim Rp8,63 Triliun",2.0,,beli saham bri bbri dividen interim rp triliun,,,,Bisnis,,,2022-12-30,BBRI
311,"Suku Bunga Acuan BI Naik, Bagaimana Suku Bunga KPR di Bank BRI?",1.0,,suku bunga acuan bi suku bunga kpr bank bri,,,,Kontan,,,2023-01-12,BBRI
312,"Tren Berlanjut, Sunarso Borong Saham BRI (BBRI) Senilai Rp1,33 Miliar",2.0,,tren lanjut sunarso borong saham bri bbri nila rp miliar,,,,Bisnis,,,2023-01-17,BBRI
313,Simak! Ini Jadwal Operasional BRI Hingga Mandiri Selama Imlek,1.0,,simak jadwal operasional bri mandiri imlek,,,,CNBC Indonesia,,,2023-01-20,BBRI
314,"Imlek, Simak Jadwal Operasional BRI hingga Mandiri",1.0,,imlek simak jadwal operasional bri mandiri,,,,CNBC Indonesia,,,2023-01-22,BBRI
315,Simak! Bos BRI Beberkan 6 Penentu Hidup Matinya Bank,1.0,,simak bos bri kan tentu hidup mati bank,,,,CNBC Indonesia,,,2023-01-24,BBRI
316,Bank BRI (BBRI) Telah Realisasikan Buyback Saham Senilai Rp 3 Triliun,2.0,,bank bri bbri realisasi buyback saham nila rp triliun,,,,Kontan,,,2023-01-31,BBRI
317,"Paling Banyak Diborong Asing, Saham BBRI Ditutup Hijau",2.0,,borong asing saham bbri tutup hijau,,,,CNBC Indonesia,,,2023-02-01,BBRI
318,"Buyback Rp 3 Triliun Tuntas, BRI Tambah Lagi Rp 1,5 Triliun",2.0,,buyback rp triliun tuntas bri rp triliun,,,,CNBC Indonesia,,,2023-02-07,BBRI
319,"Video: Melesat 67%, Laba BRI 2022 Tembus Rp 51,4 Triliun",2.0,,video melesat laba bri tembus rp triliun,,,,CNBC Indonesia,,,2023-02-08,BBRI
320,"BRI (BBRI) Cetak Laba Rp51,4 Triliun Sepanjang 2022",2.0,,bri bbri cetak laba rp triliun,,,,Bisnis,,,2023-02-08,BBRI
